abl,词根：能力
rob,v.  抢劫， 盗取【词根】破，断，裂，抢;力量
robor,词根：strengh力量
rod,/ rRd/n.杆，竿【词根】咬；询问；要求
rog,【词根】问
roga,【词根】问
rol,词根：圆
rom,词根：罗马，浪漫
rop,词根：划，撕，切割
ros,【词根】咬
rostr,词根：鸟嘴；船首
rot,/ rRt/vi.腐烂；堕落【词根】轮子；旋转
rous,词根：唤醒
rrhag,词根：破裂
rrhage,词根：流出，出血，溢流
rrhea,【词根】流
rub,/ rQb/v.摩，擦【词根】红
rud,【词根】天然的；粗糙的
rug,/ rQg/n.小地毯；毛毯。词根：皱;破碎，拆散，挖出
rupt,【词根】破裂
rur,【词根】乡下
rus,【词根】乡下
rust,/ rQst/n.铁锈v.(使)生锈【词根】乡村
ry,【后缀】表总称或集合概念
s,【后缀】副词后缀，表示时间、地点、方式、状态
sab,词根：刀；割断，使分离
sacchar,词根：sugar（糖）
sacr,【词根】神圣的
saf,词根：安全，整，救助
sag,/ sA^/v.松弛， 下陷， 下垂【词根】聪明，知道；品尝
saint,词根：神圣的
sak,词根：找出
sal,/ sB:l/ n. 婆罗双树， 盐【词根】盐；跳；健全的
salu,词根：安全， 健全的
salub,词根：health健全，健康
salut,词根：health健全，健康
salv,词根：表示“救助”
sam,词根：同，一，相似
san,【词根】健全的
sanat,词根：taste（味道）
sanc,词根：神圣的
sanct,词根：神圣的
sangu,【词根】血
sangui,【词根】血
sanguin,【词根】血
sanit,"词根：表示“健康的”"""
sap,n.树液， 体液， 活力， 坑道【词根】聪明；品尝;知道
sarc,词根：肉 
sarco,词根：肉
sat,sit的过去式【词根】充满的;满足
sati,"词根：表示“足够，饱足”"""
satis,【词根】充满的
satur,"词根：表示“足够，饱足”"""
sauc,词根：盐；味道
saul,词根：跳
saur,词根：蜥蜴
sav,词根：安全，整，救助
sc,准词根：切；看
scal,【词根】爬；攀登；切，分
scan,/ skAn/  vt. 浏览；细看；反复察看【词根】爬；攀登
scap,词根：切割，刮，劈，砍，挖
scape,n.  花茎; 羽轴; 触角根; 柱身【后缀】景观
scen,词根：老
scend,n.波浪的推动力【词根】爬；攀登
scens,【词根】爬
scent,n.  气味， 香味【词根】爬
sch,词根：切割；保持，抓，暂停
schis,词根：裂开， 劈开
schiz,词根：裂开， 劈开
schol,【词根】学
sci,【词根】知道
scien,词根：知道
scind,词根：切割cut
scintill,词根：火花
scis,词根：切割cut
scler,词根：stiff硬;巩膜
sclero,词根：硬
scoi,【词根】同伴，社会；联想
scop,n.  吟游诗人【词根】看
scope,n.  范围， 广度， 机会【词根】看
scopy,后缀：名词后缀，表示“看或观察的行为”
scor,词根：切割，刻
scrap,/ skrAp/  n.小片，碎片 vt.废弃【词根】cut切，割
scrib,词根：写
scribe,书法家v. 划线【词根】写
script,n. 脚本；手迹【词根】写
scrut,词根：检查，调查
scue,【词根】安全；脱出，拉开
scul,词根：切分
sculp,词根：雕刻；切开
scur,词根：遮盖
scut,/ skQt/ n. 短尾， 可鄙的家伙【词根】盾
se,【前缀】分离；离开
sec,adj.  无甜味的【词根】跟随；切割
secr,【词根】神
sect,n. 宗派，教派； 学派，党派【词根】切割
secu,【词根】跟随
secut,【词根】跟随
sed,【词根】坐；分开，离开，独
seg,词根：表示切， 割
segn,词根：标记，记号
sel,词根：取，抓
selen,词根：月亮
sem,词根：同，一，相似
sembl,【词根】类似的；相同的
semei,词根：symptom症状，符号
semi,pref.半(大学英语25)【前缀】半
semin,【词根】种子
sen,n.  钱; 仙【词根】老的；存在
sence,词根：存在
sens,【词根】感觉到
sent,v. 送，寄出 vbl. 送，寄出【词根】感觉；存在
seps,词根：腐烂
sept,/ sept/ n. 氏族【前缀】七【词根】腐烂
septem,【前缀】七
septi,【前缀】七
septim,【前缀】七
sequ,【词根】跟随
ser,词根：连接，安排
serf,n. 农奴，奴隶【词根】serve，slave服侍，服务，奴
seric,词根：丝绸；产丝绸的地方
serr,词根：表示“锯子”
sert,【词根】加入，插入，连接，安排；服务，奴隶
serv,【词根】服务；保存
ses,词根：六
sesqui,【前缀】表示“一个半”之义
sess,【法】 税， 税率【词根】坐
set,/ set/v.放， 置， 移动到。词根：坐，走，放；坐
sev,词根：刀；割断，使分离
sever,/ 5sevE(r)/vt. 割断，断绝；分开【词根】诚恳
sex,/ seks/n.性别【前缀】六；性
sext,/ sekst/ n. 第六时祷告仪式【前缀】六
sh,"后缀：动词后缀，表示“拟声动作""等"
shad,/ FAd/ n. 西鲱【词根】遮光，阴暗
shak,词根：摇，搅，迅速，移动
shap,词根：切割，刮，劈，砍，挖
shar,词根：切割
shav,词根：切割，刮，劈，砍，挖
shel,词根：切分
ship,/ Fip/n. 船；舰；太空船【后缀】表示抽象名词
shor,词根：切割
shov,词根：推
si,词根：停止，安顿，安静
sibil,词根：hiss（咝咝声）
sicc,词根：干燥
sid,【词根】坐
sider,词根：星星，考虑，关心，认为
sie,词根：坐
siev,词根：倒，筛，滴
sif,词根：倒，筛，滴
sig,词根：跟随;记号，信号
sign,/ sain/  v.签名【词根】记号
signi,词根：记号，符号
sil,词根：跳；安全，整，救助
silic,词根：硅；打火石
silv,词根：森林；银
sim,【前缀】单一；一个接一个【词根】相似
simil,【词根】类似的；相同的
simpl,【词根】单
simul,词根：相似，相同
sine,n.  正弦【前缀】无  
sing,vi. 唱歌；歌颂【词根】单
sinic,词根：中国
sino,前缀：中国
sinu,【词根】弯曲
sion,【后缀】用以构成名词
sip,n. 抿；小口喝；vi. 啜饮【词根】喝，吸;聪明；品尝
sis,后缀：表示“过程”，“状态”，“动作”
sist,【词根】站
sit,/ sit/v.坐。【词根】坐，走，放；坐
sito,词根：食物 
sk,词根：看，切，保持，抓，暂停;光滑
skep,/ skep/ n. 篮子， 蜂箱【词根】看， 想
skept,词根：看，观察
skir,词根：切割
sl,词根：松慢;细长;滑
sla,词根：敲击；杀死
slav,词根：服务，保护，保存
sleev,词根：滑
sli,词根：滑
slo,词根：慢的；迟钝的
slout,词根：loosen松开，解开
sman,【后缀】表示“人”
smok,词根：烟
sn,词根：鼻子，咬
snak,词根：爬行
snor,词根：呼吸
soc,"词根：表示""同伴""，引申为""社会"""";跟随"
soci,"【词根】连接；表示""同伴""，引申为""社会"""""
socio,词根：社会，团体
sol,【词根】单独的;太阳；解
solid,/ 'sRlid/ n. 固体a. 坚硬的【词根】牢固firm，whole
solu,词根：松开
solut,词根：松开
solv,词根：松开
som,词根：身体；同，一，相似
somat,词根：体，躯体
some,adj. 一些；某一；大约【后缀】表性质、大小状况
somn,【词根】睡
somni,前缀：表示“睡眠”之义
somno,词根：sleep睡眠
son,/ sQn/n.儿子【词根】声音
sonde,后缀：名词后缀，表示“探测器”
soph,【词根】聪明的；智慧
sopr,前缀：超级的
sor,词根：疼痛，病
soror,词根：姐妹
sorpt,词根：吸收
sort,vt. 将事物分类；整理【词根】连接，安排;种类，出现
sove,【前缀】特级的;过分
sp,【词根】看；嘴
spa,n.矿泉，温泉浴场。【词根】繁荣，希望，旺盛，伸
spair,【词根】希望
spars,词根：散，撒，分
spe,词根：繁荣，希望，旺盛，伸
spec,n. 投机， 投机事业， 规格【词根】看，外观，种类
speci,"词根：表示“外观，种类”"""
spect,【词根】看
spectr,词根：光谱
specul,词根：look看
sper,【词根】繁荣，希望，旺盛，伸
spermat,词根：sperm精子，精液
spers,【词根】散，撒，分
spher,【词根】球
sphere,n.  球; 球形【词根】球
sphygm,词根：sphygmus脉博
spi,【词根】看
spic,【词根】看
spin,/ spin/  vi. 旋转；纺纱；吐丝；晕眩【词根】刺
spir,【词根】呼吸
spirat,词根：呼吸
spl,词根：喷开、裂开
splen,【医】 脾【词根】脾
splend,【词根】发光
spon,词根：承诺
spond,【词根】保证;答应，约定
spong,词根：海绵
spons,"词根：表示“承诺”"""
sponse,【词根】保证
spor,词根：spore孢子
spous,词根：保证，约定
spr,词根：喷洒，散射
spri,词根：精神
squ,词根：挤压
st,【词根】站
sta,【词根】站
stab,n.  刺， 伤心【词根】站
stag,"a. 只准男子参加的 
n. 牡鹿【词根】stand站立"
stagn,词根：stand站立
stak,词根：钉，杆，棒
stal,词根：站
stall,n. 货摊；畜栏【词根】站;放
stam,词根：站;阻止
stan,词根：站
stand,n.  站立; 停止; 立定【词根】站
stann,词根：stannum锡
stant,【词根】站
stas,【词根】站
stat,【电】 静【词根】站
state,n.  状况， 状态; 形势【词根】说
ste,词根：推，敲，打，突出
stead,n.  代替; 用处【词根】站
stell,【词根】星星
sten,词根：narrow，little狭窄，少
steno,n. 速记员， 速记， 速记法【词根】狭小
step,n.脚步；步骤；措施【前缀】同父异母的；继的
ster,【后缀】表示“人”
stereo,n.立体声收音机【词根】固体的；立体的
stern,/ stE:n/  a.严厉的，严格的【词根】胸(骨)；僵硬的
stetho,词根：chest（胸）
sti,词根：剌，尖
stif,词根：压缩，紧密，硬
stig,词根：发恶臭
stige,词根：舞台
stigm,词根：表示“标志，斑点”
stil,词根：drop滴
still,/ stil/  adv.还是；还；仍然【词根】滴下
stim,【词根】刺
stimul,词根：表示”刺，刺激“
stin,"词根：表示“站，立”"""
stinct,【词根】刺
sting,/ stiN/  n. 刺痛；讽刺，刺激 【词根】刺
stip,词根：一起按压
stirain,词根：表示“拉紧”
stit,【词根】站
stitu,词根：place，establish放，建立
stitut,词根：表示”建立，放“
stitute,词根：固定的，不动的，静止的；建立
sto,词根：推，敲，打，突出
stom,【词根】嘴
stomat,词根：mouth口
ston,词根：压缩，紧密，硬
stor,词根：站
stov,词根：堆垛，藏
str,词根：拉扯，拉紧，扯紧
strain,/ 5strein/  vi.尽力，使劲【词根】拉紧
strang,【词根】拉紧
strat,词根：表示“扩散”，引申为“层次”
strato,【词根】层云;延伸；扩张
strea,词根：流
stren,词根：严格的；僵硬的rigid
streng,词根：拉，拉紧，压，击打;强壮的
strept,词根：铰链
stress,/ stres/  v. 加压力于；使紧张【词根】拉紧
strict,/ strikt/ adj. 严格的；绝对的【词根】拉
strid,stride的过去分词【词根】contend竞争
strif,词根：contend竞争
strik,词根：拉，拉紧，压，击打
string,/ striN/  n.线;细绳【词根】拉紧
striv,词根：contend竞争
stroph,【词根】转动
strophe,n.  希腊歌队唱的歌， 诗节【词根】转动
stru,【词根】建造；堆积
struct,【词根】建造；堆积
stry,词根：建造
stu,词根：推，敲，打，突出
stup,词根：笨，麻木
styl,词根：文体，风格，式样;尖（头）的，茎突
stylo,词根：尖(头)的，茎突
su,前缀：用于sp 母前= sub(在…下方)
sua,词根：劝告
suad,【词根】甜，愉快;劝告
suade,【词根】甜，愉快;劝告
suas,【词根】甜，愉快;劝告
suav,【词根】甜，愉快;劝告
sub,n. 地铁，潜艇，替补队员 【前缀】次，亚；在…下面，低
subter,前缀：少于  
suc,【前缀】在…...下面，低，次，亚
succ,词根：juice（果汁）
sud,词根：sweat（汗）
sue,/ sju:/vt.控告， 向...请求， 请愿。词根：跟随
suf,【计】 后的【前缀】在…...下面，低，次，亚
sug,【前缀】下；次
sui,词根：自已，自我
sul,词根：取，抓；跳
sulf,词根：硫代，磺基
sulph,词根：硫代，磺基
sult,【词根】跳
sum,/ sQm/n.总数， 和， 金额【前缀】下；次【词根】集结
sume,【词根】拿
summ,【词根】概要；最高的
sump,n.  污水坑， 池， 水坑【词根】拿，取
sumpt,词根：拿，取
sumptu,词根：expense（花费）
sup,/ sQp/vi.啜饮【前缀】在…...下面，低，次，亚
super,/ 5sju:pE/  太棒了【前缀】超过；在上
supr,词根：上
supra,adv.  在上; 在前【前缀】在……之上
supre,前缀：无上  
sur,【词根】确定的；安全的【前缀】在下面，超过
surg,词根：表示“升起”
surge,/ sE:dV/vi 汹涌，澎湃【词根】上升；起立
surrect,【词根】上升；起立
sus,【前缀】下；次
sw,词根：摇摆
swall,词根：吃，喝
swer,词根：说
swif,词根：快速移动
sy,【前缀】类似；连；同时；相同
syl,【前缀】类似；连；同时；相同
sylv,词根：森林
sym,【前缀】类似；连；同时；相同
syn,【前缀】类似；连；同时；相同
sys,【前缀】共同
syst,词根：组织，系统
t,【后缀】-ed的异体，用于构成过去分词等
tabl,词根：板，桌子
tabul,词根：plank（平板）
tac,【词根】沉默的
tach,n.  环; 扣【词根】连接；钉，杆，棒
tacho,词根：speed快速，速度
tachy,词根：speed快速，速度
tact,/ tAkt/n.机智， 手法， 老练， 角觉【词根】接触
tag,n.  牌子; 标签; 短句【词根】接触
tail,n. 尾巴；踪迹；辫子；燕尾服【词根】裁剪；切割
tain,【词根】握，持，守；伸，拉
tal,词根：携带，搬运，忍受，重量，钱；数，叙述，切割
tam,词根：统治，家，屋，驯服
tamin,n. 塔明有光薄呢【词根】接触
tang,/ tAN/ n. 强烈味道， 特殊的气味， 特性【词根】接触
tap,/ tAp/n.龙头。词根：顶尖
taph,词根：tomb（墓）
tard,词根：表示“慢”
tauto,词根：same（相同）
tax,vt.增添…负担 n.税【词根】排列
tea,/ ti:/ n. 茶， 茶叶【词根】拉；拽；扯
techn,【词根】艺术；技巧
techno,【计】 技术【词根】艺术；技巧
tect,【词根】覆盖
teen,n. 青少年（等于teenager）【后缀】表示数字
teg,n. 两岁的羊【词根】覆盖
tegr,【词根】接触；完整
tel,词根：再数，数，叙述，切割；目的，末端；远
tele,n. 电视【词根】远【前缀】远距离
telo,词根：末端；远，电视，电报，电信，传真
tem,词根：时间
temn,词根：表示“藐视”
temper,/ 5tempE/  n.恶劣的心情，心绪焦躁【词根】适度的
templ,词根：tmple（庙）
tempo,n.  速度， 拍子【词根】时间
tempor,【词根】时间；时代
tempt,/ tempt/  vt.引诱【词根】藐视;尝试
ten,/ ten/num.十【词根】使保持；维持;抓；薄
tend,/ tend/vt. 照料， 照顾； 护理【词根】伸展
tens,【词根】伸展
tent,/ tent/n.帐篷【词根】尝试；伸展
tenu,【词根】薄的
tep,词根：slightwarmth微温
ter,【前缀】三次的；三倍的
tera,词根：万亿
terg,【词根】背部
term,/ tE:m/n.学期， 期限， 期间， 条款【词根】边界；限制
termin,词根：表示“界限”
terr,【词根】地球；土地;使惊吓
terra,n.  地; 土地【词根】地; 土地
test,/ test/n. 试验；检验【词根】证明；试验
tetr,前缀：四  
tetra,/ 'tetrE/ n. 脂鲤【前缀】四
text,/ tekst/n.课文；课本;vt.发短信【词根】编织
th,【后缀】构成抽象名词，表示行为、性质、状态、情况
the,/ TE， Ti/  这(那)；这(那)些【词根】神
thef,词根：偷
theo,【词根】神
ther,后缀:构成名词，表示“动作”，“过程”等
therap,词根：cure治疗，疗法
therapy,n.  治疗，疗法【后缀】表示'治疗'的意思，构成复合语  
therm,n. 千卡， 克卡， 撒姆(煤气热量单位)【前缀】热
thermo,词根：热，温
thes,【词根】放
thesis,n.  论题， 论文【词根】放
thet,【词根】放
thir,词根：干，地
thr,词根：通过，穿过，征服
thrif,词根：抓
thriv,词根：抓
throne,n. 王座；君主；王权【词根】座位
thum,词根：膨胀，鼓
thun,词根：打雷
thund,词根：声音
thusi,【词根】上帝，神
tic,/ tik/ n. 痉挛【词根】形容词后缀
tig,【词根】接触
tim,蒂姆（男名）(A10)【词根】恐怖，怕
tin,n. 锡；罐头，罐；马口铁【词根】使保持；维持
tinct,n. 色彩；颜色【词根】容纳；刺
tind,词根：棍，柴；堆，垛
ting,词根：接触
tinu,词根：持续，拿住
tion,【后缀】表示状态；表示结果；表示行为（构成名词）
tious,后缀：形容词后缀，表示“…的”，“有…性质的”
tip,/ tip/n. 小费；尖端  vi. 给小费。【词根】顶尖
tir,【词根】缺乏，缺少;拉回
tire,/ 5taiE/vi. 疲劳；厌倦【词根】拉回
tla,词根：携带，搬运，忍受，重量，钱
tol,词根：携带，搬运，忍受，重量，钱
toler,词根：表示“容忍”
tom,汤姆（男名）【词根】切割
tomy,后缀:主要用于外科手术后缀，表示“切开”  
ton,/ tQn/n. 吨；很多，大量【词根】语调；声音
tongu,词根：舌头，语言，舔
top,n. 顶部，顶端 【词根】地点
tor,n.石山，突岩； 毫巴【词根】转；扭
torm,词根：沉重的咚咚声；痛苦
torn,/ tR:n/ tear的过去分词【词根】转；扭
torp,词根：numb（麻木）
torr,词根：干，地
tors,【词根】转；扭
tort,/ tR:t/ n. 民事侵权行为【词根】扭曲
tot,/ tRt/ n. 小孩， 少量， 合计【词根】完全地，彻底地
tour,/ tuE/n. 旅游，旅行；巡回演出【词根】转
tourn,词根：表示“转，环绕”
tox,【医】 毒【词根】毒药
tr,词根：通过，穿过，征服
tra,【前缀】通过;拉
trac,词根：抽，拉引，拖
tract,/ 5trAkt/  n.(美)地产；住房开发区【词根】拉；画
trad,词根：跑，走，踩
trai,词根：拉曳
tran,词根：通过，穿过，征服；横过
trans,【电】 transimitter的简写【前缀】横过，贯通
tre,词根：贡献，分配
treas,前缀：表示穿、越、超之意；财富
treat,n.宴请， 款待， 请客【词根】抽，拉引，拖，处理
trem,词根：颤，恐惧
tremb,词根：抖，颤
trench,/ trentF/ n. 渠， 沟渠， 战壕【词根】切割cut
trep,词根：恐惧fear
trepid,词根：trembling（颤抖）
tres,【前缀】通过
tri,【计】 三【前缀】三
trib,词根：给予
tribut,词根：表示“给予”
tric,词根：琐碎
trich,前缀：毛发  
trict,词根：拉扯、 拉紧
trideca,【前缀】十三
triev,词根：转
trit,【词根】磨
triv,词根：转
trix,后缀:表示“女性…者”  
tron,后缀：名词后缀，表示“仪器、装置”等
trop,【词根】转
troph,词根：表示“营养”
trou,词根：转，动，乱
tru,词根：坚固，坚定，持续；坚固，坚定，持续
truct,词根：拖，拉；建立
trud,【词根】刺，挤，榨，推，冲
trude,词根：推
trus,【词根】插入；推
tub,/ tQb/ n. 桶， 浴盆【词根】管子
tude,【后缀】构成抽象名词，表示“性质”，“状态”
tui,/ 'tu:i/ n. 蜜雀。【词根】监护，看管
tuit,词根：监护，看管，保护
tum,/ tQm/ n. 当的一声【词根】肿胀
tun,n.大酒桶【词根】声音；伸，拉
tur,词根：转，动，乱
turb,【词根】扰乱，搅动
ture,后缀:名词后缀，表示行为、行为的结果，物品等
turg,词根：swell肿
turm,词根：混乱
turn,vt. 转动【词根】旋，转，磨，擦
tus,词根：牙
tut,interj. 啧啧(表示不赞成、责难)【词根】监护，看管
tw,【词根】扭；二
twi,【前缀】二；二倍
ty,【后缀】表示抽象名词
typ,【词根】模型
typh,词根:fever(发烧)
ual,后缀：形容词后缀，表示“...的”，与-al同
uber,n. 乳房词根：fruitful（果实）
ubiqu,词根：到处
ucor,词根：wife（老婆）
ul,【词根】成长，生长，滋养
ular,后缀：表形容词，“有…形状或性质的”
ule,【后缀】表小称或“缩小”
ulous,后缀：形容词后缀
uls,"词根：表示""收缩，撕开"" "
ult,"词根：表示""收缩，撕开"" "
ultim,【词根】最后的
ultima,adj.  最后的; 最远的【词根】最后的
ultra,/ 5QltrE/  a.超乎寻常的【前缀】极端；在……那边
um,interj.嗯【后缀】表示地点
umb,词根：子宫
umbr,【词根】阴影
ump,/ Qmp/ n. 裁判员vi. 当裁判【词根】隆起
un,联合国【词根】一【前缀】不，无；相反的动作
und,【词根】水，湿，水波
undeca,【前缀】十一
under,/ 5QndE/  在下面【前缀】在…下，不足，低劣
uni,【前缀】一
uous,后缀：表形容词，表示有...性质的，属于...的
up,/ Qp/  adv. 起来；上涨；向上【前缀】向上
ur,词根：尿
uran,词根：铀，天
urb,【词根】城市
ure,【后缀】构成抽象名词，表示行为、行为的结果、状态等
urg,【词根】推，驱使，追踪
urgy,词根：technology工艺
urin,词根：表示“尿”
urs,词根：熊
us,/ Qs， Es/  我们(宾格)【词根】使用
usu,【词根】使用
ut,【词根】用【前缀】向外；超越；胜过
ute,【后缀】表性质、大小状况、状貌
uter,词根：子宫
uti,【法】 使用， 为特定目的的而使用【词根】使用
util,词根：用
utop,词根：空想
vac,/ vAk/ n. 休假， 真空吸尘器【词根】空的
vacc,词根：母牛
vaccin,【医】 菌苗， 疫苗【词根】牛痘
vacu,【词根】空的
vad,【词根】行走
vade,【词根】行走
vag,【词根】走
vaga,词根:wander(流浪)
vagr,词根：表示“漫游”
vail,v.  放下; 有利于【词根】强壮的;强大，力量，价值
val,【词根】强壮的;强大，力量，价值
vale,/ veil/  n.山谷；溪谷【词根】farewell（再见）
vali,词根：强壮的;有价值的
valu,词根：强壮的;有价值的
valv,词根：门
van,/ vAn/n. 先锋；厢式货车【词根】空的；前
vance,词根：在先
vant,【词根】前
vap,词根：蒸汽
var,【词根】不同的；变化
vari,【词根】不同的；变化
varic,词根：静脉曲张；观望
vas,【医】 管， 脉管【词根】走，漫游
vascul,词根：管，脉管，血管
vaso,词根：管，脉管，血管
veal,/ vi:l/ n. 小牛肉vt. 宰小牛【词根】面纱，织网
vect,【词根】运送；传达
veg,【词根】注视，留心，活跃，强
veget,【词根】植物
veh,【词根】运送；传达
vel,词根：紧，固，约定；抓，撕，毛；转，滚，卷，弯
veloc,词根：快速的，迅速的
velop,【词根】包；裹；盖子
ven,【词根】来；走；发生
veng,词根：惩罚
venge,【词根】报仇
vent,/ vent/n.通风孔， 出烟孔， 出口【词根】来，去，走，风
ventr,词根：venter腹
ver,ver (Version) 版本， 变化【词根】真实的;确实的;转
verb,/ vE:b/  n.动词【词根】字；词
verd,词根：green（绿）
verg,【词根】转；弯曲；倾向；倾斜
veri,词根：真实的
verm,词根：蠕虫
vermi,词根：虫
vers,【词根】转移；改变；转向
vert,/ vE:t/ n. 草木， 绿色【词根】转移；改变；转向
ves,词根：衣服
vesic,词根：裹，疮，泡
vest,/ vest/n. 背心；汗衫【词根】衣服；转
vestig,词根：脚印，踪迹
vet,/ vet/ n. 兽医【词根】老old
veter,词根：old（老）
vey,【词根】给；路
vi,【计】 vi文本编辑器【词根】路
via,/ 5vaiE/  prep.凭借；通过；经过。【词根】路；运送
vibr,词根：表示“摇摆”
vic,【词根】改变，代替；宗族，家；分开，宽
vice,/ vais/n.恶习， 恶行， 坏脾气， 罪恶【前缀】“副…”
vicin,词根：邻近
vicis,词根：改变，代替
vict,【词根】征服
vid,【词根】看见;切
vig,【词根】快活的；有生气的
vil,词根：表示”卑劣“
vill,词根：宗族，家
vin,词根：酒， 葡萄
vinc,【词根】征服，战斗
vind,词根：惩罚
viol,n. 中世纪的六弦提琴【词根】暴力
vir,【词根】流，男人，强
virg,词根：女；子宫
viro,词根：virus病毒
virt,词根：存在，生物，生命
viru,词根：virus病毒
vis,【医】 力【词根】看见；切
visc,词根：黏
viscer,词根：viscera内脏
visuo,词根：看见
vit,【词根】生命，活
vita,n.  个人简历， 生命【词根】生命，活
viti,词根：fault（错误）
vituper,词根：blame（责备）
viv,【词根】生命，活
vivi,【词根】生命，活
voc,【词根】叫喊;声
voic,词根：说，叫，声音
void,/ vRid/  n.空虚感【词根】空
vok,【词根】声音，叫喊
voke,【词根】声音，叫喊
vol,【词根】飞;意志；意志力；转
volcan,词根：火
volt,n.  伏特; 环骑; 闪避【词根】卷，转
volu,【词根】滚，转
volunt,词根：表示“意志，意愿”
volut,【词根】滚动；卷
volv,词根：滚，转
volve,【词根】滚动；卷
vor,【词根】吃
vorc,词根：转，弯
vort,词根：转变，改变
vot,【词根】给
vouc,词根：喊叫；声音
vour,词根：吃，食
vow,n.  誓约【词根】说
voy,【词根】路；看
vul,词根：抓，撕，受伤，拔毛，毛
vulcan,n.  火和锻冶的神【词根】火
vulg,【词根】人群，普通民众
vuln,词根：伤口 
vuls,【词根】扯
vulse,【词根】采摘;拉出；拔出
vult,词根：收缩，撕开
wad,/ wRd/n. 填料；块状软物  v.使…成一团。词根：走
waiv,词根：挥去，漂送；放弃
wak,词根：注视，留心，活跃，强
wal,词根：转，滚，卷，弯
wan,/ wCn/adj.病态的， 暗淡的， 无力的【词根】缺乏
war,n.战争 ;vi. 打仗，作战；对抗【词根】注意，保护
ward,n.病房；选区【词根】照顾，照料【后缀】表示方向
wards,【后缀】表示方向
ware,/ wZE/n. 陶器，器皿;vt. 留心；小心【词根】注视
wat,词根：水，湿，水波
wav,词根：织，迅速移动，转
way,/ wei/n.路【后缀】表示方式
ways,【后缀】副词后缀，有的兼作形容词后缀
weav,词根：织，迅速移动，转
web,/ web/  网；网织品。词根：织，迅速移动，转
wel,前缀：使动词构成名词 
wha,词根：多少，什么
whe,词根：多少，什么
whi,词根：多少，什么
who,/ hu:/  谁。【词根】多少，什么
whol,词根：完整，无损伤，健康
wich,后缀：镇，村
wick,/ wik/ n. 灯芯， 油绳【后缀】镇，村
wid,词根：分开，切；分开，宽
wif,词根：织，迅速移动，转
wil,词根：智慧
wint,词根：水，湿，水波
wip,词根：织，迅速移动，转
wir,词根：旋，转，卷
wis,词根：看
wise,/ waiz/adj. 明智的；聪明的【后缀】表示方式
wit,词根：知道，了解，智慧
with,/ wiT/prep. (表示伴随)与此同时【前缀】反对；反抗
wiz,n.奇才，能手，行家【词根】智慧
wol,词根：抓，撕，受伤，拔毛，毛
wor,词根：男人，强
wors,词根：战争，搞乱，混
wr,【词根】扭
wright,n.  建造者， 制造者【后缀】劳动者  
xanth,词根：黄色 
xantho,词根：黄色
xen,词根：异
xeno,词根：异
xer,词根：干燥
xero,词根：干燥
xiph,词根：剑
xipho,词根：剑
xyl,词根：木 
xylo,词根：木
y,【后缀】表性质、大小状况、状貌
yer,【后缀】表示“人”
yl,后缀：名词后缀，【化学】表示：“基”，“根”
ysm,后缀:表示动作的结果  
zinco,词根：锌
zo,【词根】动物
zon,词根：带
zoo,"/ zu:/n.动物园。词根：表示""动物"""
zyg,词根：轭，成对，接合
zym,【词根】酵母，发酵
